Ticker,Status,Thesis,Catalyst,Entry Target,Invalidation Level,Take Profit,Next Earnings,Added Date
SIE.DE,🔵 PENDING,Elite asset currently overextended or expensive. Wait for a healthy structural pullback before deployment.,,198.0,190.08,245.6,TBD,2026-04-11
AMD,🔵 PENDING,Elite asset currently overextended or expensive. Wait for a healthy structural pullback before deployment.,,166.88,160.2,213.52,TBD,2026-04-11
QCOM,🔵 PENDING,Elite asset currently overextended or expensive. Wait for a healthy structural pullback before deployment.,,105.7,101.47,122.68,TBD,2026-04-11
META,🔵 PENDING,Elite asset currently overextended or expensive. Wait for a healthy structural pullback before deployment.,,451.02,432.98,593.93,TBD,2026-04-11
ELV,🔵 PENDING,Elite asset currently overextended or expensive. Wait for a healthy structural pullback before deployment.,,244.61,234.82,290.19,TBD,2026-04-11
UNH,🔵 PENDING,Optimal alignment of quantitative pillars. High structural conviction. Ideal entry zone between €221.91 and €263.23.,,221.91,213.03,284.24,TBD,2026-04-11
MSFT,🔵 PENDING,Optimal alignment of quantitative pillars. High structural conviction. Ideal entry zone between €309.07 and €319.97.,,309.07,296.7,369.42,TBD,2026-04-11
TTD,🔵 PENDING,Optimal alignment of quantitative pillars. High structural conviction. Ideal entry zone between €16.93 and €17.68.,,16.93,16.25,26.15,TBD,2026-04-11
ABT,🔵 PENDING,Optimal alignment of quantitative pillars. High structural conviction. Ideal entry zone between €86.69 and €88.10.,,86.69,83.22,102.14,TBD,2026-04-11
ORCL,🔵 PENDING,Optimal alignment of quantitative pillars. High structural conviction. Ideal entry zone between €116.65 and €118.24.,,116.65,111.99,152.66,TBD,2026-04-11
PANW,🔵 PENDING,Elite asset currently overextended or expensive. Wait for a healthy structural pullback before deployment.,,124.4,119.43,161.07,TBD,2026-04-11
